Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	ober	camarero	waiter.png	camarero.wav	1
1	pop	muñeca	doll.png	muñeca.wav	1
1	beha	sujetador	bra.png	sujetador.wav	1
1	kalkoen	pavo	turkey.png	pavo.wav	1
1	blad	hoja	leaf.png	hoja.wav	1
1	kikker	rana	frog.png	rana.wav	1
1	portemonnee	cartera	wallet.png	cartera.wav	1
1	slak	caracol	snail.png	caracol.wav	1
1	knoflook	ajo	garlic.png	ajo.wav	1
1	krijt	tiza	chalk.png	tiza.wav	1
1	schedel	calavera	skull.png	calavera.wav	1
1	pak	traje	suit.png	traje.wav	1
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	1
1	mand	canasta	basket.png	canasta.wav	1
1	ezel	burro	donkey.png	burro.wav	1
1	bot	hueso	bone.png	hueso.wav	1
1	baksteen	ladrillo	brick.png	ladrillo.wav	1
1	fluit	silbato	whistle.png	silbato.wav	1
1	sjaal	bufanda	scarf.png	bufanda.wav	1
1	handschoen	guante	glove.png	guante.wav	1
1	stinkdier	mofeta	skunk.png	mofeta.wav	1
1	strijkijzer	plancha	iron.png	plancha.wav	1
1	deksel	tapa	lid.png	tapa.wav	1
Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	mes	cuchillo	knife.png	cuchillo.wav	1
1	blad	hoja	leaf.png	hoja.wav	1
1	portemonnee	cartera	wallet.png	cartera.wav	1
1	handschoen	guante	glove.png	guante.wav	1
1	baksteen	ladrillo	brick.png	ladrillo.wav	1
1	strijkijzer	plancha	iron.png	plancha.wav	1
1	deksel	tapa	lid.png	tapa.wav	1
1	kikker	rana	frog.png	rana.wav	1
1	ober	camarero	waiter.png	camarero.wav	1
1	krijt	tiza	chalk.png	tiza.wav	1
1	slak	caracol	snail.png	caracol.wav	1
1	ezel	burro	donkey.png	burro.wav	1
1	kalkoen	pavo	turkey.png	pavo.wav	1
1	sjaal	bufanda	scarf.png	bufanda.wav	1
1	stinkdier	mofeta	skunk.png	mofeta.wav	1
1	pop	muñeca	doll.png	muñeca.wav	1
1	mand	canasta	basket.png	canasta.wav	1
1	beha	sujetador	bra.png	sujetador.wav	1
1	bot	hueso	bone.png	hueso.wav	1
1	knoflook	ajo	garlic.png	ajo.wav	1
1	fluit	silbato	whistle.png	silbato.wav	1
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	1
1	pak	traje	suit.png	traje.wav	1
