Item	Span_Label	Picture	Condition	
kalkoen	pavo	turkey.png	2
handschoen	guante	glove.png	2
stier	toro	bull.png	1
blad	hoja	leaf.png	2
beha	sujetador	bra.png	2
deksel	tapa	lid.png	2
strijkijzer	plancha	iron.png	2
slak	caracol	snail.png	2
armband	pulsera	bracelet.png	1
pop	muñeca	doll.png	2
emmer	cubo	bucket.png	1
knoflook	ajo	garlic.png	2
eekhoorn	ardilla	squirrel.png	2
bijl	hacha	axe.png	1
mier	hormiga	ant.png	1
kikker	rana	frog.png	2
mand	canasta	basket.png	2
krijt	tiza	chalk.png	2
stoel	silla	chair.png	1
baksteen	ladrillo	brick.png	2
bezem	escoba	broom.png	1
portemonnee	cartera	wallet.png	2
fluit	silbato	whistle.png	2
Item	Span_Label	Picture	Condition	
kalkoen	pavo	turkey.png	2
handschoen	guante	glove.png	2
stier	toro	bull.png	1
blad	hoja	leaf.png	2
beha	sujetador	bra.png	2
deksel	tapa	lid.png	2
strijkijzer	plancha	iron.png	2
slak	caracol	snail.png	2
armband	pulsera	bracelet.png	1
pop	muñeca	doll.png	2
emmer	cubo	bucket.png	1
knoflook	ajo	garlic.png	2
eekhoorn	ardilla	squirrel.png	2
bijl	hacha	axe.png	1
mier	hormiga	ant.png	1
kikker	rana	frog.png	2
mand	canasta	basket.png	2
krijt	tiza	chalk.png	2
stoel	silla	chair.png	1
baksteen	ladrillo	brick.png	2
bezem	escoba	broom.png	1
portemonnee	cartera	wallet.png	2
fluit	silbato	whistle.png	2
