Item	Label	Picture	Condition	
hek	alambrada	fence.png	2
pak	traje	suit.png	1
stinkdier	mofeta	skunk.png	1
liniaal	regla	ruler.png	2
bezem	escoba	broom.png	2
knoflook	ajo	garlic.png	1
mand	canasta	basket.png	1
paddenstoel	hongo	mushroom.png	2
perzik	melocotón	peach.png	2
krijt	tiza	chalk.png	1
strijkijzer	plancha	iron.png	1
sjaal	bufanda	scarf.png	1
doodskist	ataúd	coffin.png	2
kalkoen	pavo	turkey.png	1
slak	caracol	snail.png	1
dweil	fregona	mop.png	2
mes	cuchillo	knife.png	1
bijl	hacha	axe.png	2
baksteen	ladrillo	brick.png	1
blad	hoja	leaf.png	1
ui	cebolla	onion.png	2
broekzak	bolsillo	pocket.png	2
aansteker	mechero	lighter.png	2
pop	muñeca	doll.png	1
zeehond	foca	seal.png	2
kikker	rana	frog.png	1
ober	camarero	waiter.png	1
deksel	tapa	lid.png	1
armband	pulsera	bracelet.png	2
handschoen	guante	glove.png	1
hert	ciervo	deer.png	2
worst	salchicha	sausage.png	2
eekhoorn	ardilla	squirrel.png	1
dienblad	bandeja	tray.png	2
beha	sujetador	bra.png	1
ezel	burro	donkey.png	1
haai	tiburón	shark.png	2
schommel	columpio	swing.png	2
mier	hormiga	ant.png	2
stoel	silla	chair.png	2
jurk	vestido	dress.png	2
portemonnee	cartera	wallet.png	1
bot	hueso	bone.png	1
stier	toro	bull.png	2
emmer	cubo	bucket.png	2
fluit	silbato	whistle.png	1
