Block	Item	Span_Label	Picture	Audio_Spanish	Condition	Stem	
1	blad	hoja	leaf.png	hoja.wav	1	ho___
1	armband	pulsera	bracelet.png	pulsera.wav	2	pul___
1	beha	sujetador	bra.png	sujetador.wav	1	su___
1	slak	caracol	snail.png	caracol.wav	1	ca___
1	sjaal	bufanda	scarf.png	bufanda.wav	1	bu___
1	kalkoen	pavo	turkey.png	pavo.wav	1	pa___
1	emmer	cubo	bucket.png	cubo.wav	2	cu___
1	handschoen	guante	glove.png	guante.wav	1	guan___
1	fluit	silbato	whistle.png	silbato.wav	1	sil___
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	1	ar___
1	baksteen	ladrillo	brick.png	ladrillo.wav	1	la___
1	pop	muñeca	doll.png	muñeca.wav	1	mu___
1	strijkijzer	plancha	iron.png	plancha.wav	1	plan___
1	portemonnee	cartera	wallet.png	cartera.wav	1	car___
1	krijt	tiza	chalk.png	tiza.wav	1	ti___
1	knoflook	ajo	garlic.png	ajo.wav	1	a___
1	kikker	rana	frog.png	rana.wav	1	ra___
1	bezem	escoba	broom.png	escoba.wav	2	es___
1	bot	hueso	bone.png	hueso.wav	1	hue___
1	mand	canasta	basket.png	canasta.wav	1	ca___
1	bijl	hacha	axe.png	hacha.wav	2	ha___
1	mier	hormiga	ant.png	hormiga.wav	2	hor___
1	deksel	tapa	lid.png	tapa.wav	1	ta___
2	blad	hoja	leaf.png	hoja.wav	1	ho___
2	armband	pulsera	bracelet.png	pulsera.wav	2	pul___
2	beha	sujetador	bra.png	sujetador.wav	1	su___
2	slak	caracol	snail.png	caracol.wav	1	ca___
2	sjaal	bufanda	scarf.png	bufanda.wav	1	bu___
2	kalkoen	pavo	turkey.png	pavo.wav	1	pa___
2	emmer	cubo	bucket.png	cubo.wav	2	cu___
2	handschoen	guante	glove.png	guante.wav	1	guan___
2	fluit	silbato	whistle.png	silbato.wav	1	sil___
2	eekhoorn	ardilla	squirrel.png	ardilla.wav	1	ar___
2	baksteen	ladrillo	brick.png	ladrillo.wav	1	la___
2	pop	muñeca	doll.png	muñeca.wav	1	mu___
2	strijkijzer	plancha	iron.png	plancha.wav	1	plan___
2	portemonnee	cartera	wallet.png	cartera.wav	1	car___
2	krijt	tiza	chalk.png	tiza.wav	1	ti___
2	knoflook	ajo	garlic.png	ajo.wav	1	a___
2	kikker	rana	frog.png	rana.wav	1	ra___
2	bezem	escoba	broom.png	escoba.wav	2	es___
2	bot	hueso	bone.png	hueso.wav	1	hue___
2	mand	canasta	basket.png	canasta.wav	1	ca___
2	bijl	hacha	axe.png	hacha.wav	2	ha___
2	mier	hormiga	ant.png	hormiga.wav	2	hor___
2	deksel	tapa	lid.png	tapa.wav	1	ta___
